ID;TYPE;LIBELLE;IMP;NB;URL
41269;FOOTBALL_SPORTIF;Eugénie Le Sommer;897;9;https://www.lequipe.fr/Football/FootballFicheJoueur41269.html
41270;FOOTBALL_SPORTIF;Louisa Necib-Cadamuro;139;6;https://www.lequipe.fr/Football/FootballFicheJoueur41270.html
41274;FOOTBALL_SPORTIF;Camille Abily;313;5;https://www.lequipe.fr/Football/FootballFicheJoueur41274.html
41278;FOOTBALL_SPORTIF;Elodie Thomis;99;4;https://www.lequipe.fr/Football/FootballFicheJoueur41278.html
41352;FOOTBALL_SPORTIF;Elise Bussaglia;173;6;https://www.lequipe.fr/Football/FootballFicheJoueur41352.html
41354;FOOTBALL_SPORTIF;Sandrine Soubeyrand;65;6;https://www.lequipe.fr/Football/FootballFicheJoueur41354.html
41355;FOOTBALL_SPORTIF;Marie-Laure Delie;211;5;https://www.lequipe.fr/Football/FootballFicheJoueur41355.html
41356;FOOTBALL_SPORTIF;Gaëtane Thiney;300;13;https://www.lequipe.fr/Football/FootballFicheJoueur41356.html
41599;FOOTBALL_SPORTIF;Oribe Peralta;49;1;https://www.lequipe.fr/Football/FootballFicheJoueur41599.html
41669;FOOTBALL_SPORTIF;Hope Solo;102;5;https://www.lequipe.fr/Football/FootballFicheJoueur41669.html
41689;FOOTBALL_SPORTIF;Abby Wambach;81;5;https://www.lequipe.fr/Football/FootballFicheJoueur41689.html
41699;FOOTBALL_SPORTIF;Homare Sawa;5;1;https://www.lequipe.fr/Football/FootballFicheJoueur41699.html
4171;CYCLISME_SPORTIF;Cadel Evans;330;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur4171.html
4184;BASKET_SPORTIF;Blake Griffin;160;2;https://www.lequipe.fr/Basket/BasketFicheJoueur4184.html
4191;CYCLISME_SPORTIF;Tom Boonen;493;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur4191.html
42071;FOOTBALL_SPORTIF;Yuki Otsu;2;3;https://www.lequipe.fr/Football/FootballFicheJoueur42071.html
4238;CYCLISME_SPORTIF;Sylvain Chavanel;496;3;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur4238.html
4239;CYCLISME_SPORTIF;Thomas Voeckler;661;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur4239.html
43093;FOOTBALL_SPORTIF;Moussa Konaté;106;12;https://www.lequipe.fr/Football/FootballFicheJoueur43093.html
43187;FOOTBALL_SPORTIF;Rômulo;13;3;https://www.lequipe.fr/Football/FootballFicheJoueur43187.html
43378;FOOTBALL_SPORTIF;André Poko;138;1;https://www.lequipe.fr/Football/FootballFicheJoueur43378.html
4358;TENNIS_SPORTIF;Saisai Zheng;63;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur4358.html
4426;BASKET_SPORTIF;Evan Fournier;1227;8;https://www.lequipe.fr/Basket/BasketFicheJoueur4426.html
44391;FOOTBALL_SPORTIF;Rafael;375;4;https://www.lequipe.fr/Football/FootballFicheJoueur44391.html
44480;FOOTBALL_SPORTIF;Hiroki Sakai;373;1;https://www.lequipe.fr/Football/FootballFicheJoueur44480.html
4453;CYCLISME_SPORTIF;Samuel Sanchez;106;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur4453.html
4470;TENNIS_SPORTIF;Caroline Garcia;4311;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur4470.html
4525;BASKET_SPORTIF;Sarah Michel;7;2;https://www.lequipe.fr/Basket/BasketFicheJoueur4525.html
45687;FOOTBALL_SPORTIF;Ferland Mendy;645;1;https://www.lequipe.fr/Football/FootballFicheJoueur45687.html
4580;BASKET_SPORTIF;Amel Bouderra;7;1;https://www.lequipe.fr/Basket/BasketFicheJoueur4580.html
45950;FOOTBALL_SPORTIF;Mohamed Salah;2019;6;https://www.lequipe.fr/Football/FootballFicheJoueur45950.html
46659;FOOTBALL_SPORTIF;Paulo Dybala;822;2;https://www.lequipe.fr/Football/FootballFicheJoueur46659.html
46961;FOOTBALL_SPORTIF;Marquinhos;2298;6;https://www.lequipe.fr/Football/FootballFicheJoueur46961.html
4722;BASKET_SPORTIF;Stephen Curry;1124;2;https://www.lequipe.fr/Basket/BasketFicheJoueur4722.html
4728;BASKET_SPORTIF;Aron Baynes;10;1;https://www.lequipe.fr/Basket/BasketFicheJoueur4728.html
4737;BASKET_SPORTIF;Jan Vesely;16;1;https://www.lequipe.fr/Basket/BasketFicheJoueur4737.html
47575;FOOTBALL_SPORTIF;Sabrina Delannoy;32;2;https://www.lequipe.fr/Football/FootballFicheJoueur47575.html
4772;BASKET_SPORTIF;Jrue Holiday;35;2;https://www.lequipe.fr/Basket/BasketFicheJoueur4772.html
47802;FOOTBALL_SPORTIF;Manuel Lanzini;53;2;https://www.lequipe.fr/Football/FootballFicheJoueur47802.html
4847;BASKET_SPORTIF;Romane Bernies;1;1;https://www.lequipe.fr/Basket/BasketFicheJoueur4847.html
